"Speed","Distance"
"Quantity[4, ""Miles""/""Hours""]","Quantity[2, ""Feet""]"
"Quantity[4, ""Miles""/""Hours""]","Quantity[10, ""Feet""]"
"Quantity[7, ""Miles""/""Hours""]","Quantity[4, ""Feet""]"
"Quantity[7, ""Miles""/""Hours""]","Quantity[22, ""Feet""]"
"Quantity[8, ""Miles""/""Hours""]","Quantity[16, ""Feet""]"
"Quantity[9, ""Miles""/""Hours""]","Quantity[10, ""Feet""]"
"Quantity[10, ""Miles""/""Hours""]","Quantity[18, ""Feet""]"
"Quantity[10, ""Miles""/""Hours""]","Quantity[26, ""Feet""]"
"Quantity[10, ""Miles""/""Hours""]","Quantity[34, ""Feet""]"
"Quantity[11, ""Miles""/""Hours""]","Quantity[17, ""Feet""]"
"Quantity[11, ""Miles""/""Hours""]","Quantity[28, ""Feet""]"
"Quantity[12, ""Miles""/""Hours""]","Quantity[14, ""Feet""]"
"Quantity[12, ""Miles""/""Hours""]","Quantity[20, ""Feet""]"
"Quantity[12, ""Miles""/""Hours""]","Quantity[24, ""Feet""]"
"Quantity[12, ""Miles""/""Hours""]","Quantity[28, ""Feet""]"
"Quantity[13, ""Miles""/""Hours""]","Quantity[26, ""Feet""]"
"Quantity[13, ""Miles""/""Hours""]","Quantity[34, ""Feet""]"
"Quantity[13, ""Miles""/""Hours""]","Quantity[34, ""Feet""]"
"Quantity[13, ""Miles""/""Hours""]","Quantity[46, ""Feet""]"
"Quantity[14, ""Miles""/""Hours""]","Quantity[26, ""Feet""]"
"Quantity[14, ""Miles""/""Hours""]","Quantity[36, ""Feet""]"
"Quantity[14, ""Miles""/""Hours""]","Quantity[60, ""Feet""]"
"Quantity[14, ""Miles""/""Hours""]","Quantity[80, ""Feet""]"
"Quantity[15, ""Miles""/""Hours""]","Quantity[20, ""Feet""]"
"Quantity[15, ""Miles""/""Hours""]","Quantity[26, ""Feet""]"
"Quantity[15, ""Miles""/""Hours""]","Quantity[54, ""Feet""]"
"Quantity[16, ""Miles""/""Hours""]","Quantity[32, ""Feet""]"
"Quantity[16, ""Miles""/""Hours""]","Quantity[40, ""Feet""]"
"Quantity[17, ""Miles""/""Hours""]","Quantity[32, ""Feet""]"
"Quantity[17, ""Miles""/""Hours""]","Quantity[40, ""Feet""]"
"Quantity[17, ""Miles""/""Hours""]","Quantity[50, ""Feet""]"
"Quantity[18, ""Miles""/""Hours""]","Quantity[42, ""Feet""]"
"Quantity[18, ""Miles""/""Hours""]","Quantity[56, ""Feet""]"
"Quantity[18, ""Miles""/""Hours""]","Quantity[76, ""Feet""]"
"Quantity[18, ""Miles""/""Hours""]","Quantity[84, ""Feet""]"
"Quantity[19, ""Miles""/""Hours""]","Quantity[36, ""Feet""]"
"Quantity[19, ""Miles""/""Hours""]","Quantity[46, ""Feet""]"
"Quantity[19, ""Miles""/""Hours""]","Quantity[68, ""Feet""]"
"Quantity[20, ""Miles""/""Hours""]","Quantity[32, ""Feet""]"
"Quantity[20, ""Miles""/""Hours""]","Quantity[48, ""Feet""]"
"Quantity[20, ""Miles""/""Hours""]","Quantity[52, ""Feet""]"
"Quantity[20, ""Miles""/""Hours""]","Quantity[56, ""Feet""]"
"Quantity[20, ""Miles""/""Hours""]","Quantity[64, ""Feet""]"
"Quantity[22, ""Miles""/""Hours""]","Quantity[66, ""Feet""]"
"Quantity[23, ""Miles""/""Hours""]","Quantity[54, ""Feet""]"
"Quantity[24, ""Miles""/""Hours""]","Quantity[70, ""Feet""]"
"Quantity[24, ""Miles""/""Hours""]","Quantity[92, ""Feet""]"
"Quantity[24, ""Miles""/""Hours""]","Quantity[93, ""Feet""]"
"Quantity[24, ""Miles""/""Hours""]","Quantity[120, ""Feet""]"
"Quantity[25, ""Miles""/""Hours""]","Quantity[85, ""Feet""]"
